"Molecule","Potency","pIC50","Outcome","is_active"
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])N1N=NC(=N1)C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",33.2475886573389,4.478239847226652,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])n1c([H])c([H])n([H])c1=O)C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",45.1025785713487,4.345798628248526,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",67.8374830751673,4.168530273764962,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])N([H])C(=O)C1([H])N(C([H])([H])C(F)(F)F)C([H])([H])C([H])([H])OC1([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",21.5732763348394,4.666083893558158,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])S(=O)(=O)C([H])([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",15.6482071023667,4.805535414676882,"Inactive",0
"[H]N(C(=O)C1([H])C2=C([H])C(Cl)=C([H])C(OC([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])=C2OC([H])([H])C1([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",36.5305283241835,4.437344046741865,"Inactive",0
"[H]C#CC([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)C([H])([H])OC(=O)C1=C(C([H])=C([H])C([H])=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H]",15.1754239421511,4.818859167589435,"Inactive",0
"[H]C1=C([H])C([H])=C(O1)C(=O)N(C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C1=C([H])C([H])=C([H])N=C1[H]",40.9555384442711,4.387687360005107,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])N2N=C(OC([H])([H])[H])N=C2N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",33.419823305515,4.475995850601893,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=NC([H])=C([H])N=C1OC([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",94.8614877084905,4.022910068609704,"Inactive",0
"[H]N(C(=O)C([H])([H])C1(C(=O)N([H])C([H])([H])[H])C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",30.7002550534679,4.512858016449407,"Inactive",0
